"id","neighbourhood_group","neighbourhood","room_type","price","availability_365","annual_revenue_potential"
31340283,"Manhattan","Lower East Side","Entire home/apt",9999,365,3649635
2953058,"Brooklyn","Clinton Hill","Entire home/apt",8000,365,2920000
33007610,"Manhattan","Battery Park City","Entire home/apt",7500,364,2730000
33998396,"Manhattan","Chelsea","Entire home/apt",6800,364,2475200
36056808,"Manhattan","Tribeca","Entire home/apt",6500,365,2372500
2110145,"Manhattan","Upper West Side","Entire home/apt",6000,359,2154000
23377410,"Manhattan","Tribeca","Entire home/apt",8500,251,2133500
1448703,"Manhattan","Nolita","Entire home/apt",5000,365,1825000
2919330,"Brooklyn","Bedford-Stuyvesant","Private room",5000,363,1815000
33397385,"Manhattan","Midtown","Entire home/apt",5100,343,1749300
18051877,"Staten Island","Randall Manor","Entire home/apt",5000,344,1720000
2952861,"Brooklyn","Clinton Hill","Entire home/apt",4500,365,1642500
35345358,"Brooklyn","Williamsburg","Entire home/apt",4500,365,1642500
22296197,"Manhattan","Chelsea","Entire home/apt",4160,364,1514240
33796251,"Brooklyn","Bedford-Stuyvesant","Private room",4200,347,1457400
27629043,"Manhattan","Battery Park City","Entire home/apt",3750,365,1368750
34895693,"Brooklyn","East Flatbush","Private room",7500,179,1342500
29964348,"Manhattan","Upper East Side","Entire home/apt",3600,358,1288800
22296097,"Manhattan","Chelsea","Private room",3210,364,1168440
30589636,"Manhattan","Harlem","Entire home/apt",3200,365,1168000
